Date,Close
1/3/2017,808.01
1/4/2017,807.77
1/5/2017,813.02
1/6/2017,825.21
1/9/2017,827.18
1/10/2017,826.01
1/11/2017,829.86
1/12/2017,829.53
1/13/2017,830.94
1/17/2017,827.46
1/18/2017,829.02
1/19/2017,824.37
1/20/2017,828.17
1/23/2017,844.43
1/24/2017,849.53
1/25/2017,858.45
1/26/2017,856.98
1/27/2017,845.03
1/30/2017,823.83
1/31/2017,820.19
2/1/2017,815.24
2/2/2017,818.26
2/3/2017,820.13
2/6/2017,821.62
2/7/2017,829.23
2/8/2017,829.88
2/9/2017,830.06
2/10/2017,834.85
2/13/2017,838.96
2/14/2017,840.03
2/15/2017,837.32
2/16/2017,842.17
2/17/2017,846.55
2/21/2017,849.27
2/22/2017,851.36
2/23/2017,851
2/24/2017,847.81
2/27/2017,849.67
2/28/2017,844.93
3/1/2017,856.75
3/2/2017,849.85
3/3/2017,849.08
3/6/2017,847.27
3/7/2017,851.15
3/8/2017,853.64
3/9/2017,857.84
3/10/2017,861.41
3/13/2017,864.58
3/14/2017,865.91
3/15/2017,868.39
3/16/2017,870
3/17/2017,872.37
3/20/2017,867.91
3/21/2017,850.14
3/22/2017,849.8
3/23/2017,839.65
3/24/2017,835.14
3/27/2017,838.51
3/28/2017,840.63
3/29/2017,849.87
3/30/2017,849.48
3/31/2017,847.8
4/3/2017,856.75
4/4/2017,852.57
4/5/2017,848.91
4/6/2017,845.1
4/7/2017,842.1
4/10/2017,841.7
4/11/2017,839.88
4/12/2017,841.46
4/13/2017,840.18
4/17/2017,855.13
4/18/2017,853.99
4/19/2017,856.51
4/20/2017,860.08
4/21/2017,858.95
4/24/2017,878.93
4/25/2017,888.84
4/26/2017,889.14
4/27/2017,891.44
4/28/2017,924.52
5/1/2017,932.82
5/2/2017,937.09
5/3/2017,948.45
5/4/2017,954.72
5/5/2017,950.28
5/8/2017,958.69
5/9/2017,956.71
5/10/2017,954.84
5/11/2017,955.89
5/12/2017,955.14
5/15/2017,959.22
5/16/2017,964.61
5/17/2017,942.17
5/18/2017,950.5
5/19/2017,954.65
5/22/2017,964.07
5/23/2017,970.55
5/24/2017,977.61
5/25/2017,991.86
5/26/2017,993.27
5/30/2017,996.17
5/31/2017,987.09
6/1/2017,988.29
6/2/2017,996.12
6/5/2017,1003.88
6/6/2017,996.68
6/7/2017,1001.59
6/8/2017,1004.28
6/9/2017,970.12
6/12/2017,961.81
6/13/2017,970.5
6/14/2017,967.93
6/15/2017,960.18
6/16/2017,958.62
6/19/2017,975.22
6/20/2017,968.99
6/21/2017,978.59
6/22/2017,976.62
6/23/2017,986.09
6/26/2017,972.09
6/27/2017,948.09
6/28/2017,961.01
6/29/2017,937.82
6/30/2017,929.68
7/3/2017,919.46
7/5/2017,932.26
7/6/2017,927.69
7/7/2017,940.81
7/10/2017,951
7/11/2017,953.53
7/12/2017,967.66
7/13/2017,968.85
7/14/2017,976.91
7/17/2017,975.96
7/18/2017,986.95
7/19/2017,992.77
7/20/2017,992.19
7/21/2017,993.84
7/24/2017,998.31
7/25/2017,969.03
7/26/2017,965.31
7/27/2017,952.51
7/28/2017,958.33
7/31/2017,945.5
8/1/2017,946.56
8/2/2017,947.64
8/3/2017,940.3
8/4/2017,945.79
8/7/2017,945.75
8/8/2017,944.19
8/9/2017,940.08
8/10/2017,923.59
8/11/2017,930.09
8/14/2017,938.93
8/15/2017,938.08
8/16/2017,944.27
8/17/2017,927.66
8/18/2017,926.18
8/21/2017,920.87
8/22/2017,940.4
8/23/2017,942.58
8/24/2017,936.89
8/25/2017,930.5
8/28/2017,928.13
8/29/2017,935.75
8/30/2017,943.63
8/31/2017,955.24
9/1/2017,951.99
9/5/2017,941.48
9/6/2017,942.02
9/7/2017,949.89
9/8/2017,941.41
9/11/2017,943.29
9/12/2017,946.65
9/13/2017,950.44
9/14/2017,940.13
9/15/2017,935.29
9/18/2017,929.75
9/19/2017,936.86
9/20/2017,947.54
9/21/2017,947.55
9/22/2017,943.26
9/25/2017,934.28
9/26/2017,937.43
